Date,Fund_Return,SPY_Return,Residual,Fund,Year,Quantile
2010-06-10,0.0463766880555895,0.0292316903842884,0.0167570422801538,ICPAX,2010,10
2005-08-10,0.0162950136097059,-0.000486772678154,0.0167593339653155,FRNRX,2005,10
2004-10-14,0.0095949478236625,-0.0080690230072626,0.016760749163651,VGENX,2004,10
2016-04-19,0.0199411224680567,0.0031542460382103,0.0167609710563193,PRNEX,2016,10
2000-07-31,0.0229311123442532,0.0063781971139247,0.0167629696375986,ICPAX,2000,10
2008-02-04,0.0039710972706443,-0.0126093285948162,0.0167630298397261,FRNRX,2008,10
2006-03-23,0.0148119431644135,-0.0020712819193519,0.0167642254260715,FNARX,2006,10
2000-02-29,0.0257655475780358,0.0096416920258435,0.0167669600357783,VGENX,2000,10
2000-01-21,0.0146036790142645,-0.0021591137568052,0.016768628548077,FRNRX,2000,10
2000-02-04,0.0121413184669549,-0.0041462774894941,0.0167730454143393,ICPAX,2000,10
2005-01-13,0.0088235492070471,-0.0080122825467616,0.0167732353185699,FNARX,2005,10
2000-10-06,-0.0052354484067812,-0.0216734905622464,0.0167739688695478,FRNRX,2000,10
2000-06-29,0.0083521678055469,-0.0094461928501109,0.0167748980078139,VGENX,2000,10
2008-03-05,0.0229768826608043,0.0063164798265378,0.0167751926408941,PRNEX,2008,10
2012-06-29,0.0421624384812309,0.0249264161342115,0.0167836990942997,FRNRX,2012,10
2011-08-09,0.0613810881005092,0.0464994956527555,0.0167842186476599,PRNEX,2011,10
2008-08-26,0.0198340716887044,0.0029132690155646,0.016784601039221,RYEIX,2008,10
2014-12-16,0.0088284400024678,-0.0080190880040037,0.0167849961815135,FNARX,2014,10
2015-01-26,0.0192883308364912,0.0023416077611566,0.0167858279165409,FNARX,2015,10
2006-09-27,0.0180353021714219,0.001198353672807,0.0167859918101958,FRNRX,2006,10
2003-08-07,0.0279350339944093,0.0105172523134451,0.0167888037780091,FSENX,2003,10
2021-05-14,0.0321715576609771,0.015355325403582,0.0167913811902436,ICPAX,2021,10
2022-01-11,0.0257611208345669,0.0091083198603689,0.0167914159680734,ICPAX,2022,10
1999-06-11,0.0083267728970684,-0.0083549504534394,0.0167923633732027,FRNRX,1999,10
2008-03-25,0.0179583159933491,0.0009649981584605,0.0167936570410331,FSENX,2008,10
2022-10-31,0.0090753027507211,-0.0072233698494403,0.0167945716069025,RYEIX,2022,10
2005-01-13,0.0082419499561974,-0.0080122825467616,0.0167993265365766,RYEIX,2005,10
2020-11-17,0.0109090382185967,-0.0053782062618573,0.0168049299500608,ICPAX,2020,10
2011-08-10,-0.0291957048493196,-0.0441775948565084,0.0168111207415525,FSENX,2011,10
2002-01-23,0.0249652602022365,0.0076528003627782,0.0168122220444047,FSENX,2002,10
2012-01-23,0.0140321716195637,-0.0025768864779679,0.0168152116417937,RYEIX,2012,10
2025-02-10,0.023985128868436,0.0067911983520216,0.0168159089211995,RYEIX,2025,10
2011-08-10,-0.0280758339626174,-0.0441775948565084,0.0168183505903785,FRNRX,2011,10
2001-09-27,0.0252780232208917,0.0086794990534522,0.0168184502284031,PRNEX,2001,10
2016-05-25,0.0234040482788195,0.0067829674448582,0.0168205435727655,ICPAX,2016,10
2002-05-03,0.0058206050265394,-0.0108495546647259,0.0168229966157595,FRNRX,2002,10
2004-07-01,0.0024742902605143,-0.0138824285316668,0.0168243616735369,FSENX,2004,10
2019-06-20,0.0262529462133762,0.0095542770713836,0.0168256147259136,ICPAX,2019,10
2012-09-07,0.0204463785134534,0.0038948640421574,0.0168265505201945,ICPAX,2012,10
2009-06-01,0.0425066481138978,0.0242083933415948,0.0168341315355059,RYEIX,2009,10
2001-08-21,-0.0008335580107511,-0.0170584674023709,0.0168352963629291,FSENX,2001,10
2025-11-06,0.0061507046243152,-0.0107293822508095,0.0168432862929166,FNARX,2025,10
2016-06-28,0.0359587180599139,0.0180361658884118,0.0168433167638379,RYEIX,2016,10
1999-07-06,0.0168393770899717,-0.0002237552240119,0.0168448825809913,VGENX,1999,10
2016-05-25,0.0237790855047532,0.0067829674448582,0.0168506961261032,FRNRX,2016,10
1999-04-09,0.0171170924016497,0.0002311185767804,0.0168513781784861,FRNRX,1999,10
2003-01-29,0.0239712775830827,0.0075735505138962,0.0168602616944903,VGENX,2003,10
2022-08-26,-0.0175250289596182,-0.0338489280466668,0.0168657766038959,FRNRX,2022,10
