Fund,Year,L2_Distance,Quantile
ICTEX,2018,0.013360503822905349,8
ICTEX,2019,0.005546728460580252,2
ICTEX,2020,0.01055133417861744,7
ICTEX,2021,0.00589897540951096,3
ICTEX,2022,0.0174435449242023,9
ICTEX,2023,0.01193997327088754,8
ICTEX,2024,0.006849806410969556,4
ICTEX,2025,0.018545721787203675,10
ICTEX,2026,0.0024624344646081,1
KTCAX,1999,0.014244720328794263,9
KTCAX,2000,0.022878893440628767,10
KTCAX,2001,0.01943278270017859,10
KTCAX,2002,0.014233313918203542,9
KTCAX,2003,0.008821163619943744,5
KTCAX,2004,0.008556861743996148,5
KTCAX,2005,0.005224186783443531,2
KTCAX,2006,0.006107685467713257,3
KTCAX,2007,0.006178200069792373,3
KTCAX,2008,0.012783784613113908,8
KTCAX,2009,0.007907354656531198,5
KTCAX,2010,0.005036302418230695,1
KTCAX,2011,0.006418522892658112,3
KTCAX,2012,0.005217409835539503,2
KTCAX,2013,0.0044514512976979725,1
KTCAX,2014,0.018483415026950542,10
KTCAX,2015,0.009060306074617329,6
KTCAX,2016,0.0049542832017694365,1
KTCAX,2017,0.005556201130656375,2
KTCAX,2018,0.011493470126432188,8
KTCAX,2019,0.007849287183157737,5
KTCAX,2020,0.010348025654034977,7
KTCAX,2021,0.010011900882453765,6
KTCAX,2022,0.008935918659555814,6
KTCAX,2023,0.010125258477429547,7
KTCAX,2024,0.009151619067327693,6
KTCAX,2025,0.007968330754930439,5
KTCAX,2026,0.0002817563475952,1
MTCAX,1999,0.016200997330642466,9
MTCAX,2000,0.024530375295703805,10
MTCAX,2001,0.026547116398789893,10
MTCAX,2002,0.016827093926463088,9
MTCAX,2003,0.008426890085417648,5
MTCAX,2004,0.008478250957312677,5
MTCAX,2005,0.005878194111574267,3
MTCAX,2006,0.0066384237959612735,3
MTCAX,2007,0.0058660087782748775,2
MTCAX,2008,0.012997453430289517,8
MTCAX,2009,0.008062203447736218,5
MTCAX,2010,0.0053458836660325556,2
MTCAX,2011,0.006544117268471344,3
MTCAX,2012,0.004808704429935456,1
MTCAX,2013,0.004492310804730362,1
MTCAX,2014,0.004592354358833496,1
MTCAX,2015,0.004735829801260779,1
MTCAX,2016,0.005414085618748914,2
MTCAX,2017,0.0051400015803993015,2
MTCAX,2018,0.007371431426049491,4
MTCAX,2019,0.004699600532806897,1
MTCAX,2020,0.0107732398754039,7
MTCAX,2021,0.012978243505555079,8
MTCAX,2022,0.009919110201443853,6
MTCAX,2023,0.0101729217618816,7
MTCAX,2024,0.012231467999552971,8
MTCAX,2025,0.01395594101028578,8
MTCAX,2026,0.0001853393657314,1
ROGSX,1999,0.015377201106633126,9
ROGSX,2000,0.035192636093104045,10
ROGSX,2001,0.03972741688304868,10
ROGSX,2002,0.025631283944264508,10
ROGSX,2003,0.011509560095638735,8
ROGSX,2004,0.009146560236841687,6
ROGSX,2005,0.006523317273820769,3
ROGSX,2006,0.007186803823641856,4
ROGSX,2007,0.006864282818507298,4
ROGSX,2008,0.015916464237392097,9
ROGSX,2009,0.010037481862485577,6
ROGSX,2010,0.005699354597545013,2
ROGSX,2011,0.006522310093593916,3
ROGSX,2012,0.0046224161450529955,1
ROGSX,2013,0.004311811359745848,1
ROGSX,2014,0.003593429470161481,1
ROGSX,2015,0.00459308321506829,1
ROGSX,2016,0.004532981689924643,1
ROGSX,2017,0.00593987441146847,3
ROGSX,2018,0.005529037793656942,2
ROGSX,2019,0.004039845344924197,1
ROGSX,2020,0.009209373281222134,6
ROGSX,2021,0.008712776323258656,5
ROGSX,2022,0.0060962682660093736,3
ROGSX,2023,0.005448999661062098,2
ROGSX,2024,0.005916195623751947,3
ROGSX,2025,0.00737025712596789,4
ROGSX,2026,0.000131527579941,1
RSIFX,1999,0.017722902580494172,9
RSIFX,2000,0.029155875294053602,10
RSIFX,2001,0.016140013298276586,9
RSIFX,2002,0.0200634011035122,10
RSIFX,2003,0.01253828237774135,8
RSIFX,2004,0.013476049987247793,8
RSIFX,2005,0.007602636289947892,4
RSIFX,2006,0.011057516276054384,7
RSIFX,2007,0.011041902150443383,7
RSIFX,2008,0.014255915471484196,9
RSIFX,2009,0.008561580116480302,5
RSIFX,2010,0.0070289637597922274,4
RSIFX,2011,0.008544604175088186,5
RSIFX,2012,0.007548843870124901,4
RSIFX,2013,0.017992573630571586,10
RSIFX,2014,0.017222352996085984,9
RSIFX,2015,0.010093678841008261,6
RSIFX,2016,0.011837892832454294,8
RSIFX,2017,0.015682989485643013,9
RSIFX,2018,0.014502662994364665,9
RSIFX,2019,0.009958243808893038,6
RSIFX,2020,0.01309456416812907,8
RSIFX,2021,0.016045163879809324,9
RSIFX,2022,0.012948218354937232,8
RSIFX,2023,0.007292228773320577,4
RSIFX,2024,0.007107330405370924,4
RSIFX,2025,0.00793742334765376,5
RSIFX,2026,0.0004223133723086,1
SHGTX,1999,0.01337528758721454,8
SHGTX,2000,0.02889157492051711,10
SHGTX,2001,0.014191217396877256,9
SHGTX,2002,0.011298718070665925,7
