Fund,Year,L2_Distance,Quantile
IARAX,2010,0.009125532878956991,5
IARAX,2011,0.008494783141646799,4
IARAX,2012,0.008484002934095247,4
IARAX,2013,0.012133243992566125,8
IARAX,2014,0.0062190914730013225,1
IARAX,2015,0.015101361521062338,9
IARAX,2016,0.0129754079904491,9
IARAX,2017,0.006641690311194178,2
IARAX,2018,0.009908436055629827,6
IARAX,2019,0.014074890836200667,9
IARAX,2020,0.013440209539595366,9
IARAX,2021,0.007711602947654647,3
IARAX,2022,0.011507355171294222,8
IARAX,2023,0.009406066287843838,5
IARAX,2024,0.009320603284192278,5
IARAX,2025,0.009962658742049654,6
IARAX,2026,0.0003672356586382,1
PHRAX,1999,0.011500953929721938,8
PHRAX,2000,0.01294149013076756,9
PHRAX,2001,0.011543468833080257,8
PHRAX,2002,0.013207387881094598,9
PHRAX,2003,0.007771029754698097,3
PHRAX,2004,0.01109075058177616,7
PHRAX,2005,0.007801819224012577,3
PHRAX,2006,0.008247912750491094,4
PHRAX,2007,0.011513542732899359,8
PHRAX,2008,0.030223803191779926,10
PHRAX,2009,0.029456920892291367,10
PHRAX,2010,0.010036625605449732,6
PHRAX,2011,0.009146135561158373,5
PHRAX,2012,0.0061810739855374915,1
PHRAX,2013,0.00856371584601072,4
PHRAX,2014,0.007262268197202816,2
PHRAX,2015,0.016439594650713762,9
PHRAX,2016,0.01650018408453499,9
PHRAX,2017,0.01330554379465259,9
PHRAX,2018,0.013640375761909324,9
PHRAX,2019,0.017620143588527756,10
PHRAX,2020,0.014151213357510295,9
PHRAX,2021,0.008028640444637124,3
PHRAX,2022,0.011948226070445465,8
PHRAX,2023,0.011779462146331425,8
PHRAX,2024,0.009678350940505918,6
PHRAX,2025,0.00937038403648383,5
PHRAX,2026,0.0004376141461005,1
RPFRX,1999,0.010069245515988841,6
RPFRX,2000,0.011936181763771234,8
RPFRX,2001,0.009228500511803357,5
RPFRX,2002,0.011871892962424746,8
RPFRX,2003,0.007120769606633212,2
RPFRX,2004,0.009234370931086453,5
RPFRX,2005,0.009259169922144374,5
RPFRX,2006,0.012508738910652687,8
RPFRX,2007,0.024993691329297598,10
RPFRX,2008,0.023000278359188327,10
RPFRX,2009,0.022941457064433513,10
RPFRX,2010,0.007589591829028983,3
RPFRX,2011,0.007352304099475308,3
RPFRX,2012,0.0053048564027736635,1
RPFRX,2013,0.006645908740197865,2
RPFRX,2014,0.005220932634429784,1
RPFRX,2015,0.00683272552913424,2
RPFRX,2016,0.00756684621846876,3
RPFRX,2017,0.006895731328485602,2
RPFRX,2018,0.008960112062905569,4
RPFRX,2019,0.007507564924564984,3
RPFRX,2020,0.015015177751915578,9
RPFRX,2021,0.007681839192352427,3
RPFRX,2022,0.009092601824633366,5
RPFRX,2023,0.010581791368003822,7
RPFRX,2024,0.009313284852590071,5
