Fund,Year,L2_Distance,Sector
PHRAX,2001,0.011543465089501952,re
PHRAX,2002,0.013207381379584578,re
PHRAX,2003,0.007771027892038657,re
PHRAX,2004,0.0110907467601002,re
PHRAX,2005,0.007801818358214303,re
PHRAX,2006,0.008247909098269854,re
PHRAX,2007,0.011513549840770501,re
PHRAX,2008,0.03022380474422878,re
PHRAX,2009,0.02945692129913295,re
PHRAX,2010,0.010036625164282541,re
PHRAX,2011,0.009146136741825402,re
PHRAX,2012,0.006181076971871065,re
PHRAX,2013,0.008563723845847662,re
PHRAX,2014,0.007262264271196877,re
PHRAX,2015,0.01643959265392821,re
PHRAX,2016,0.0165001827292593,re
PHRAX,2017,0.01330554423899706,re
PHRAX,2018,0.013640373985551072,re
PHRAX,2019,0.01762014106408186,re
PHRAX,2020,0.014151218052374463,re
PHRAX,2021,0.008028636791302078,re
PHRAX,2022,0.011948228128328022,re
PHRAX,2023,0.011779464282624967,re
PHRAX,2024,0.009678355018288037,re
PHRAX,2025,0.009370388987023744,re
RPFRX,1999,0.010069248239970229,re
RPFRX,2000,0.011936178576277155,re
RPFRX,2001,0.009228498620378502,re
RPFRX,2002,0.011871890131127348,re
RPFRX,2003,0.007120767692841862,re
RPFRX,2004,0.009234368868338418,re
RPFRX,2005,0.009259168184422057,re
RPFRX,2006,0.012508736193482263,re
RPFRX,2007,0.024993690848061897,re
RPFRX,2008,0.023000279920723097,re
RPFRX,2009,0.022941456986442076,re
RPFRX,2010,0.00758959153652648,re
RPFRX,2011,0.007352303787131283,re
RPFRX,2012,0.0053048564014136525,re
RPFRX,2013,0.006645913495041627,re
RPFRX,2014,0.0052209305268860464,re
RPFRX,2015,0.006832726299859835,re
RPFRX,2016,0.007566847025168551,re
RPFRX,2017,0.006895732446111978,re
RPFRX,2018,0.008960111821665869,re
RPFRX,2019,0.007507564825774831,re
RPFRX,2020,0.015015180039349318,re
RPFRX,2021,0.007681837226598673,re
RPFRX,2022,0.009092603586224232,re
RPFRX,2023,0.010581792859362003,re
RPFRX,2024,0.009313287047064285,re
RPFRX,2025,0.009822462203946572,re
SOAAX,1999,0.011185933319978053,re
SOAAX,2000,0.012651972485903737,re
SOAAX,2001,0.00990011621461476,re
SOAAX,2002,0.012851047042657493,re
SOAAX,2003,0.007232541961864701,re
SOAAX,2004,0.010242179390477831,re
SOAAX,2005,0.00732873913725881,re
SOAAX,2006,0.006626561222687028,re
SOAAX,2007,0.010330308464630716,re
SOAAX,2008,0.030272410120708814,re
SOAAX,2009,0.030092854536960582,re
SOAAX,2010,0.010775724579280051,re
SOAAX,2011,0.00903722779381157,re
SOAAX,2012,0.0061580043299926945,re
SOAAX,2013,0.0060624838421361954,re
SOAAX,2014,0.005711540410388505,re
SOAAX,2015,0.0091250087262935,re
SOAAX,2016,0.008410018375608147,re
SOAAX,2017,0.005545799946549956,re
SOAAX,2018,0.009498488856550762,re
SOAAX,2019,0.007388559337685122,re
SOAAX,2020,0.011770651753943717,re
SOAAX,2021,0.0073851415124921455,re
SOAAX,2022,0.008928603848989688,re
SOAAX,2023,0.00865926329410049,re
SOAAX,2024,0.008688809856248913,re
SOAAX,2025,0.008905787094661267,re
STMDX,1999,0.01021967377095508,re
STMDX,2000,0.01208121421672063,re
STMDX,2001,0.009156451472310298,re
STMDX,2002,0.01224391309097612,re
STMDX,2003,0.0069477405789350926,re
STMDX,2004,0.010496343540491948,re
STMDX,2005,0.007808132082715036,re
STMDX,2006,0.007585924109096538,re
STMDX,2007,0.010526718155968177,re
STMDX,2008,0.02815846667247946,re
STMDX,2009,0.02502780042303335,re
STMDX,2010,0.009076303751490046,re
STMDX,2011,0.008747556898135962,re
STMDX,2012,0.006446942132335058,re
STMDX,2013,0.006980478008161452,re
STMDX,2014,0.01043779816194268,re
STMDX,2015,0.007658829639470796,re
STMDX,2016,0.009111350013306966,re
STMDX,2017,0.00635263968999272,re
STMDX,2018,0.008829967875096677,re
STMDX,2019,0.008009673146918998,re
STMDX,2020,0.012683773216674516,re
STMDX,2021,0.008545116150289776,re
STMDX,2022,0.010353657956289506,re
STMDX,2023,0.010848469251705945,re
STMDX,2024,0.009212411318308009,re
STMDX,2025,0.00965686921934475,re
TRREX,1999,0.010805935345392408,re
TRREX,2000,0.012676351925693663,re
TRREX,2001,0.010164522153409903,re
TRREX,2002,0.01252977404019958,re
TRREX,2003,0.00736930534054383,re
TRREX,2004,0.010002329100704355,re
TRREX,2005,0.007502731293223519,re
TRREX,2006,0.007333779244004591,re
TRREX,2007,0.010613572226713415,re
TRREX,2008,0.029743173394698758,re
TRREX,2009,0.027744594997060994,re
TRREX,2010,0.009878260314315528,re
TRREX,2011,0.00816011866173136,re
TRREX,2012,0.005639094540810943,re
TRREX,2013,0.006412948970818623,re
TRREX,2014,0.005630288610132616,re
TRREX,2015,0.007662708658008455,re
TRREX,2016,0.00759093232086348,re
TRREX,2017,0.00646252744133681,re
TRREX,2018,0.00905318491019587,re
TRREX,2019,0.011884637182200305,re
TRREX,2020,0.043445180550733736,re
TRREX,2021,0.013952412205777077,re
TRREX,2022,0.019732719634286123,re
TRREX,2023,0.010515165691756489,re
TRREX,2024,0.01015854749817104,re
TRREX,2025,0.010337501148129669,re
