Fund,Year,L2_Distance,Sector,Quantile
PHRAX,2023,0.0117794642826249,re,8
PHRAX,2024,0.009678355018288,re,6
PHRAX,2025,0.0093703889870237,re,5
RPFRX,1999,0.0100692482399702,re,6
RPFRX,2000,0.0119361785762771,re,8
RPFRX,2001,0.0092284986203785,re,5
RPFRX,2002,0.0118718901311273,re,8
RPFRX,2003,0.0071207676928418,re,2
RPFRX,2004,0.0092343688683384,re,5
RPFRX,2005,0.009259168184422,re,5
RPFRX,2006,0.0125087361934822,re,8
RPFRX,2007,0.0249936908480618,re,10
RPFRX,2008,0.023000279920723,re,10
RPFRX,2009,0.022941456986442,re,10
RPFRX,2010,0.0075895915365264,re,3
RPFRX,2011,0.0073523037871312,re,2
RPFRX,2012,0.0053048564014136,re,1
RPFRX,2013,0.0066459134950416,re,2
RPFRX,2014,0.005220930526886,re,1
RPFRX,2015,0.0068327262998598,re,2
RPFRX,2016,0.0075668470251685,re,3
RPFRX,2017,0.0068957324461119,re,2
RPFRX,2018,0.0089601118216658,re,4
RPFRX,2019,0.0075075648257748,re,2
RPFRX,2020,0.0150151800393493,re,9
RPFRX,2021,0.0076818372265986,re,3
RPFRX,2022,0.0090926035862242,re,4
RPFRX,2023,0.010581792859362,re,7
RPFRX,2024,0.0093132870470642,re,5
RPFRX,2025,0.0098224622039465,re,6
SOAAX,1999,0.011185933319978,re,7
SOAAX,2000,0.0126519724859037,re,8
SOAAX,2001,0.0099001162146147,re,6
SOAAX,2002,0.0128510470426574,re,9
SOAAX,2003,0.0072325419618647,re,2
SOAAX,2004,0.0102421793904778,re,6
SOAAX,2005,0.0073287391372588,re,2
SOAAX,2006,0.006626561222687,re,1
SOAAX,2007,0.0103303084646307,re,7
SOAAX,2008,0.0302724101207088,re,10
SOAAX,2009,0.0300928545369605,re,10
SOAAX,2010,0.01077572457928,re,7
SOAAX,2011,0.0090372277938115,re,4
SOAAX,2012,0.0061580043299926,re,1
SOAAX,2013,0.0060624838421361,re,1
SOAAX,2014,0.0057115404103885,re,1
SOAAX,2015,0.0091250087262935,re,4
SOAAX,2016,0.0084100183756081,re,3
SOAAX,2017,0.0055457999465499,re,1
SOAAX,2018,0.0094984888565507,re,5
SOAAX,2019,0.0073885593376851,re,2
SOAAX,2020,0.0117706517539437,re,8
SOAAX,2021,0.0073851415124921,re,2
SOAAX,2022,0.0089286038489896,re,4
SOAAX,2023,0.0086592632941004,re,4
SOAAX,2024,0.0086888098562489,re,4
SOAAX,2025,0.0089057870946612,re,4
STMDX,1999,0.010219673770955,re,6
STMDX,2000,0.0120812142167206,re,8
STMDX,2001,0.0091564514723102,re,5
STMDX,2002,0.0122439130909761,re,8
STMDX,2003,0.006947740578935,re,2
STMDX,2004,0.0104963435404919,re,7
STMDX,2005,0.007808132082715,re,3
STMDX,2006,0.0075859241090965,re,3
STMDX,2007,0.0105267181559681,re,7
STMDX,2008,0.0281584666724794,re,10
STMDX,2009,0.0250278004230333,re,10
STMDX,2010,0.00907630375149,re,4
STMDX,2011,0.0087475568981359,re,4
STMDX,2012,0.006446942132335,re,1
STMDX,2013,0.0069804780081614,re,2
STMDX,2014,0.0104377981619426,re,7
STMDX,2015,0.0076588296394707,re,3
STMDX,2016,0.0091113500133069,re,4
STMDX,2017,0.0063526396899927,re,1
STMDX,2018,0.0088299678750966,re,4
STMDX,2019,0.0080096731469189,re,3
STMDX,2020,0.0126837732166745,re,8
STMDX,2021,0.0085451161502897,re,4
STMDX,2022,0.0103536579562895,re,7
STMDX,2023,0.0108484692517059,re,7
STMDX,2024,0.009212411318308,re,5
STMDX,2025,0.0096568692193447,re,6
TRREX,1999,0.0108059353453924,re,7
TRREX,2000,0.0126763519256936,re,8
TRREX,2001,0.0101645221534099,re,6
TRREX,2002,0.0125297740401995,re,8
TRREX,2003,0.0073693053405438,re,2
TRREX,2004,0.0100023291007043,re,6
TRREX,2005,0.0075027312932235,re,2
TRREX,2006,0.0073337792440045,re,2
TRREX,2007,0.0106135722267134,re,7
TRREX,2008,0.0297431733946987,re,10
TRREX,2009,0.0277445949970609,re,10
TRREX,2010,0.0098782603143155,re,6
TRREX,2011,0.0081601186617313,re,3
TRREX,2012,0.0056390945408109,re,1
TRREX,2013,0.0064129489708186,re,1
TRREX,2014,0.0056302886101326,re,1
TRREX,2015,0.0076627086580084,re,3
TRREX,2016,0.0075909323208634,re,3
TRREX,2017,0.0064625274413368,re,1
TRREX,2018,0.0090531849101958,re,4
TRREX,2019,0.0118846371822003,re,8
TRREX,2020,0.0434451805507337,re,10
TRREX,2021,0.013952412205777,re,9
TRREX,2022,0.0197327196342861,re,10
TRREX,2023,0.0105151656917564,re,7
TRREX,2024,0.010158547498171,re,6
TRREX,2025,0.0103375011481296,re,7
