Fund,Year,L2_Norm,Sector,Cluster_k5,Cluster_k8
SPY,2006,5.838773460298096e-06,healthcare,1,1
SPY,2007,6.776067706460308e-06,healthcare,1,1
SPY,2008,6.183331002242675e-06,healthcare,1,1
SPY,2009,6.491415219928968e-06,healthcare,1,1
SPY,2010,5.430407568406071e-06,healthcare,1,1
SPY,2011,4.790213669406377e-06,healthcare,1,1
SPY,2012,5.544198958431018e-06,healthcare,1,1
SPY,2013,6.24315814547322e-06,healthcare,1,1
SPY,2014,5.343786278397521e-06,healthcare,1,1
SPY,2015,4.824160114454516e-06,healthcare,1,1
SPY,2016,4.808953814569827e-06,healthcare,1,1
SPY,2017,3.4974083905991817e-06,healthcare,1,1
SPY,2018,4.696512670229357e-06,healthcare,1,1
SPY,2019,4.484753849945574e-06,healthcare,1,1
SPY,2020,4.466574530142402e-06,healthcare,1,1
SPY,2021,3.128869266939762e-06,healthcare,1,1
SPY,2022,2.5187519170785e-06,healthcare,1,1
SPY,2023,2.142930654048192e-06,healthcare,1,1
SPY,2024,2.340284104344108e-06,healthcare,1,1
SPY,2025,1.529883074361443e-06,healthcare,1,1
VGHCX,1999,0.0988535407899483,healthcare,2,4
VGHCX,2000,0.1567303827903938,healthcare,5,7
VGHCX,2001,0.1214399357456535,healthcare,3,5
VGHCX,2002,0.1103687875983567,healthcare,3,4
VGHCX,2003,0.0795817332581922,healthcare,2,2
VGHCX,2004,0.0596665067509889,healthcare,1,1
VGHCX,2005,0.0537062941714091,healthcare,1,1
VGHCX,2006,0.0578352076172307,healthcare,1,1
VGHCX,2007,0.0521789010393876,healthcare,1,1
VGHCX,2008,0.1148402238921667,healthcare,3,5
VGHCX,2009,0.1135115968397695,healthcare,3,5
VGHCX,2010,0.0588017908071654,healthcare,1,1
VGHCX,2011,0.0540446366644276,healthcare,1,1
VGHCX,2012,0.0452705437113474,healthcare,1,1
VGHCX,2013,0.04755873304446,healthcare,1,1
VGHCX,2014,0.0690745080443111,healthcare,1,2
VGHCX,2015,0.0889489414974006,healthcare,2,3
VGHCX,2016,0.0983254495514492,healthcare,2,4
VGHCX,2017,0.0723611487141772,healthcare,1,2
VGHCX,2018,0.0645240425275655,healthcare,1,1
VGHCX,2019,0.0819298616586565,healthcare,2,2
VGHCX,2020,0.1078095482766434,healthcare,3,4
VGHCX,2021,0.0820602188020097,healthcare,2,2
VGHCX,2022,0.1045967743990711,healthcare,3,4
VGHCX,2023,0.0854889050456116,healthcare,2,3
VGHCX,2024,0.0924564046078326,healthcare,2,3
VGHCX,2025,0.1413508800723898,healthcare,4,6
FNARX,1999,0.2341191500028861,energy,5,8
FNARX,2000,0.2405332735119469,energy,5,8
FNARX,2001,0.1963514160346216,energy,5,8
FNARX,2002,0.1642511886997376,energy,5,7
FNARX,2003,0.1253289436998575,energy,4,5
FNARX,2004,0.1417465512176923,energy,4,6
FNARX,2005,0.1913169186632846,energy,5,8
FNARX,2006,0.2105130652705996,energy,5,8
FNARX,2007,0.1435219082210025,energy,4,6
FNARX,2008,0.414424375394598,energy,5,8
FNARX,2009,0.222024115171947,energy,5,8
FNARX,2010,0.110760431241264,energy,3,4
FNARX,2011,0.1440068817272196,energy,4,7
FNARX,2012,0.1022186416297722,energy,3,4
FNARX,2013,0.1021742630343135,energy,3,4
FNARX,2014,0.1653670423152793,energy,5,7
FNARX,2015,0.196070225044749,energy,5,8
FNARX,2016,0.2236246303814223,energy,5,8
FNARX,2017,0.1572115688322028,energy,5,7
FNARX,2018,0.1466390211122133,energy,4,7
FNARX,2019,0.129234613339071,energy,4,6
FNARX,2020,0.2812587849600179,energy,5,8
FNARX,2021,0.2167469931702861,energy,5,8
FNARX,2022,0.3052841121394939,energy,5,8
FNARX,2023,0.1983972696187386,energy,5,8
FNARX,2024,0.1556070772798165,energy,4,7
FNARX,2025,0.1469741779066676,energy,4,7
FSENX,1999,0.2377483902579948,energy,5,8
FSENX,2000,0.2655004942876426,energy,5,8
FSENX,2001,0.233850369391292,energy,5,8
FSENX,2002,0.1835258794644358,energy,5,7
FSENX,2003,0.1451537802276784,energy,4,7
FSENX,2004,0.1569763055350584,energy,5,7
FSENX,2005,0.2006953239392702,energy,5,8
FSENX,2006,0.2207569812389921,energy,5,8
FSENX,2007,0.1519236699703472,energy,4,7
FSENX,2008,0.4054314932672783,energy,5,8
FSENX,2009,0.2222719811420404,energy,5,8
FSENX,2010,0.1141116367584493,energy,3,5
FSENX,2011,0.1347342481198405,energy,4,6
FSENX,2012,0.0971969798428381,energy,2,4
FSENX,2013,0.0905944124999965,energy,2,3
FSENX,2014,0.1534939805498845,energy,4,7
FSENX,2015,0.1950253539369711,energy,5,8
FSENX,2016,0.2320383111859265,energy,5,8
FSENX,2017,0.1676273885298863,energy,5,7
FSENX,2018,0.1747296324055113,energy,5,7
FSENX,2019,0.167324654091732,energy,5,7
FSENX,2020,0.378419586183312,energy,5,8
FSENX,2021,0.2694958034928459,energy,5,8
FSENX,2022,0.3341174911692829,energy,5,8
FSENX,2023,0.222466209043992,energy,5,8
FSENX,2024,0.1735694915141291,energy,5,7
FSENX,2025,0.1860627391912009,energy,5,7
ICPAX,1999,0.1759487254600828,energy,5,7
ICPAX,2000,0.3356885358500137,energy,5,8
ICPAX,2001,0.1305477710531052,energy,4,6
ICPAX,2002,0.1123894440223218,energy,3,5
ICPAX,2003,0.0913435130258772,energy,2,3
ICPAX,2004,0.0817787069264901,energy,2,2
ICPAX,2005,0.0769534046429807,energy,1,2
ICPAX,2006,0.0816786313545286,energy,2,2
ICPAX,2007,0.0739269846940197,energy,1,2
ICPAX,2008,0.1642505232216159,energy,5,7
ICPAX,2009,0.1011247652087904,energy,3,4
ICPAX,2010,0.1046874808279938,energy,3,4
ICPAX,2011,0.1819166043591601,energy,5,7
ICPAX,2012,0.1245159591429274,energy,4,5
ICPAX,2013,0.0942998355588498,energy,2,3
ICPAX,2014,0.1415491363973448,energy,4,6
ICPAX,2015,0.1950883189440895,energy,5,8
ICPAX,2016,0.2131571942288419,energy,5,8
ICPAX,2017,0.172041590931543,energy,5,7
ICPAX,2018,0.1763003621325146,energy,5,7
ICPAX,2019,0.1668053145023841,energy,5,7
ICPAX,2020,0.3316150802669708,energy,5,8
ICPAX,2021,0.2239122043032965,energy,5,8
ICPAX,2022,0.2754708575638938,energy,5,8
ICPAX,2023,0.2022176159622928,energy,5,8
ICPAX,2024,0.1455972304765136,energy,4,7
ICPAX,2025,0.1521719700134746,energy,4,7
PRNEX,1999,0.1593564382431574,energy,5,7
PRNEX,2000,0.190587691788055,energy,5,8
PRNEX,2001,0.1728835826888876,energy,5,7
PRNEX,2002,0.1297913435182238,energy,4,6
PRNEX,2003,0.098594039228848,energy,2,4
PRNEX,2004,0.1235858899776951,energy,3,5
PRNEX,2005,0.1327591411907375,energy,4,6
PRNEX,2006,0.1654901429917022,energy,5,7
PRNEX,2007,0.118029345702447,energy,3,5
PRNEX,2008,0.3156319992893018,energy,5,8
PRNEX,2009,0.1709098197081613,energy,5,7
PRNEX,2010,0.0984887933164552,energy,2,4
PRNEX,2011,0.1135621926003593,energy,3,5
PRNEX,2012,0.0857467758289474,energy,2,3
PRNEX,2013,0.0747924885223752,energy,1,2
PRNEX,2014,0.1140774705464242,energy,3,5
PRNEX,2015,0.1392536835779678,energy,4,6
PRNEX,2016,0.1255432592679036,energy,4,5
